id,username,category,profilePicUrl,followers,reelsCount30d,avgViews30d,lastScrapedAt
146f8e09-ef5c-4b55-b643-9f2b2e6ef15f,priyanshu.radia,2. PB ADVENTURE,https://scontent-lax7-1.cdninstagram.com/v/t51.82787-19/658898054_18039694163784805_617170626765529089_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zOTQuYzIifQ&_nc_ht=scontent-lax7-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGsZ2fpcnICJk-3RBvkwlclqc2C3EwQyeme6xTF0L30y4dnOtKUh9h2MPbQ8lzGmvU&_nc_ohc=nIHtIW11_BkQ7kNvwFWA7d-&_nc_gid=pDVwd8jYjgtjLPleT-kN_w&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af_-_i7mJm97Ixa8x1Ytb09gfUytaG3WOE-rePBD7QJfLQ&oe=6A34C0EE&_nc_sid=8b3546,23003,1,18600,2026-06-14T17:22:35.957Z
570aee03-e5ab-4b0b-9319-fb1e3692fc31,sohamrajsinh_jadeja,2. PB ADVENTURE,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-19/711736647_18237213247308513_7328750820406014826_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NjEuYzIifQ&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHRQRapFAjVcuxnRw-JtGL8XGBhuPRkWDJ3LIEcdUNVSotIgh1y_aLitUBb6sKY-OE&_nc_ohc=Jhhui8V6RmwQ7kNvwHypWtt&_nc_gid=T1EHMYiWMgdnIPXUCP60nQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af_kKJ1tJMvwVaGMuRLRWTPduSr0MafVF5mP0ySoSj0LkQ&oe=6A349CC2&_nc_sid=8b3546,76027,24,23904,2026-06-14T17:23:09.292Z
898dafed-3fa1-4f5d-a718-3b82668f6089,om.yande,2. PB ADVENTURE,https://scontent-phx1-1.cdninstagram.com/v/t51.82787-19/683166728_17963705229079659_5574286959381039429_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40NDAuYzIifQ&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gE6OpbjiUl3_ikymQ_XmyFGgRzTaMs4EP6vrildi5usUwSKUcijxs1W-vV_gHsEdoc&_nc_ohc=imYPi95bF7AQ7kNvwH5uFen&_nc_gid=d5smZboqXn0w_FkWlmS0Wg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af9aaDM3ODFH9kKqJssgPescbjYdSqIly06sOgm98YBe3A&oe=6A34C69C&_nc_sid=8b3546,18825,3,85664,2026-06-14T17:23:30.201Z
9a646821-ea05-476c-b2d1-24b62d823f3a,creatorkarro,2. PB ADVENTURE,https://scontent-hou1-1.cdninstagram.com/v/t51.82787-19/712158708_18137357833557240_4744297237434647820_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43NjcuYzIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gFNStorqwLv_lOPNeZ536ZF1fvjBL1CQ9NFxHcpOP3SsNRsPXNCCS487s8BsurdHOE&_nc_ohc=U9sMmWultWMQ7kNvwGquKRZ&_nc_gid=oKp_o1R7ZkVqK1nXxiTUcg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af9tuJtMTKGciSeUtx3IDdUoJAPJ9XkjYCg-SGGv59lHIw&oe=6A34CA4F&_nc_sid=8b3546,516734,3,42479,2026-06-14T17:23:49.811Z
2650992e-c0a0-48a1-a8f1-2b5539e44287,hormozi,1. LEADER CONTENT,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-19/517386261_18283544059250343_2310324648245609872_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gG30szAfK3j7aDrpoA-RuwSNv3sAC3i3X3DDZE29uDnP1Zuwi6H8-xKZ8YXU-0DCqs&_nc_ohc=nOlkdO7XWLEQ7kNvwHHjQH1&_nc_gid=hHK0J9PmAljXtsseRGZgTg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af985Mmox3b5z6_YYsKkuN8S5XENi65qW0zfOV4AB_SN9w&oe=6A34CE00&_nc_sid=8b3546,4728413,88,302793,2026-06-14T17:25:22.868Z
a9130a92-7ff8-4a70-a674-bdc2e1804762,aryan_kole,2. PB ADVENTURE,https://instagram.fsac1-1.fna.fbcdn.net/v/t51.82787-19/538179787_18193129318315482_5044048798029220044_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsac1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2gFH5JIRjXJ7Dvup5YgWqI4Enjej0FExDoeJ9oCRRdyH3As3N5h80968GoFoSLXoRyM&_nc_ohc=Gy8_QSqp-JsQ7kNvwHagjip&_nc_gid=TQmfjRQxkYA2tNHVAgVDlg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af84J47EN31I-zr9ZZySkpZF9ZpyZmyYHdwtrUXQqCo68w&oe=6A34CE41&_nc_sid=8b3546,7157,6,88748,2026-06-14T17:25:44.005Z
d36f5316-a466-4d27-8e15-49099a686f49,asli_creates,2. PB ADVENTURE,https://instagram.fjan1-1.fna.fbcdn.net/v/t51.82787-19/610069950_17945052975093927_5680017658502580360_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fjan1-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2gERCBha-UoW_HnBOGIEjobzsiDDyiRnauwJg8iAU6qJhNsRMTa8z7PgZeLOZj98m48&_nc_ohc=SjYtN-BrpCwQ7kNvwHJoIli&_nc_gid=tvZZod83TO5MBt2POKXzyA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af839-AO56JbGs15EX5fWmIQjKOzI7o2AY5vXo1PBpyaxw&oe=6A34AF9F&_nc_sid=8b3546,162065,41,9841,2026-06-14T17:27:01.923Z
0fd49257-4a27-47bf-addb-243a365ff6c3,rishiudapurkar,2. PB ADVENTURE,https://scontent-lax3-1.cdninstagram.com/v/t51.82787-19/527242225_18519670108061157_3525388857038562380_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45MTYuYzIifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gGnPwCSaD3-6T81zSjy-7kJrp-iIdK2EtLo02d8IWHaE-XQ5ExsWc74-PsANSsymDM&_nc_ohc=GP7xRVXuh3sQ7kNvwGcaj_n&_nc_gid=HqDBmuBQWgybua-AejUQug&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af9eBgNjuv_Cca7SP_n25acFI6oglxhOu2lkj1IG31rdcA&oe=6A34A6C2&_nc_sid=8b3546,114265,15,43831,2026-06-14T17:27:19.761Z
8fe91a6f-f692-46b7-9b09-a6317f0c8aa3,longevitypenguin,2. PB ADVENTURE,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-19/565348687_18288839302279994_2652845597302424511_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gEM0fWh1T67iB1UyQkIXAR7FVLNKW0y5YqYtoLSRXjHF2WbjLg28ZU6QWUAiBijtUE&_nc_ohc=FLk9dKzgeUQQ7kNvwFzDNRO&_nc_gid=Wxfw2lOpljTv-E--_6qWIg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af9T1OerRj2QSjNW7CPnFJE98Za4urMwB1p-cz6woiOxrQ&oe=6A349CFD&_nc_sid=8b3546,84813,14,5299,2026-06-14T17:28:40.151Z
af206a11-b7c4-448c-a529-0f2a9f3390a4,danieldalen,2. PB ADVENTURE,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-19/458958005_3689950721316822_720599924108679768_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gE8e7drscdce2GVO263zdDvN7wqRAgxUuK5J-CxayHs3k9k2Y4qsB8nlK28Z7pqjHo&_nc_ohc=uIVPnX46kv4Q7kNvwGPJ5b4&_nc_gid=YyMdaaTZwlzxOS-LZFUP1A&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af98wdaijFNsvEleMkYIguWTD5dSEPdVE8bDO0fgWtVB0Q&oe=6A34B10F&_nc_sid=8b3546,215383,0,0,2026-06-14T17:28:53.529Z
a36f5303-bf6b-4979-a3b4-1abde99412c1,michaelkitka,2. PB ADVENTURE,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/509857382_18486964609064823_4362739485387469999_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gF94qlw0yFem0QfdoN8wetTWJIqXlxHkBj6KfBnEIHQscTBwvSiAcKDLygGSnt7uP8&_nc_ohc=tF1j3zBTXfMQ7kNvwGpaqmq&_nc_gid=V9pjpi2xKGlu0eyUiEI-SQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af-oO67i1XhODx0XyHYsn0UR0e8vao2IMAZ32oo24223Xg&oe=6A349FFC&_nc_sid=8b3546,32070,22,2471,2026-06-14T17:29:49.451Z
4fbd557f-6f8a-4b54-abf8-a2ba048f510d,samhxtr,2. PB ADVENTURE,https://scontent-lax3-1.cdninstagram.com/v/t51.82787-19/542305568_17904365043250581_6296293897195172650_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFordxs_pV0TWIH0S4AFG-yjXUNr7GWZ69Y_qoYLSekkja6tNM06kBid6rrJJ8tJeI&_nc_ohc=VEI5Gd9EirUQ7kNvwH9MP6N&_nc_gid=bbyzkxR-uXbndZm4Ra8RKg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af8EN_kvA6SXCoboxc7Xp_eQDSoRVjwP_N5qP0q_P8tHNA&oe=6A34AC03&_nc_sid=8b3546,67306,28,1578,2026-06-14T17:31:48.105Z
93ef0a5a-ec22-40df-9699-538d582ac9d2,sooweigoh,2. PB ADVENTURE,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/452673174_474064455574430_5115074999082160287_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41MzEuYzIifQ&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gF9JNEMrqhWrotk8qLYYR0mk_6TNzSXvw6s01PcV2THoRc0X2GktdZ61Dgojqw9C5U&_nc_ohc=TwktxEr42GIQ7kNvwEr7u8S&_nc_gid=sGoMJ1Hnzwi0wUaMjWw60A&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af80xSNjAG61b5CW2HhERKTQ5IqvYyNyeTt-O6M1xr-4MA&oe=6A34C036&_nc_sid=8b3546,119536,27,27652,2026-06-14T17:32:58.493Z
b2069009-7471-464d-9fff-32fbe27a0d75,filatov.design,1. LEADER CONTENT,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-19/473542256_2283340952045458_9155962438262161792_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gGLK80Mb1MY1j-BfqdHWQkdCs3C1trlJtjBH9kBSYy7Kw1uwbNlW8mVgm4bloNg9CU&_nc_ohc=sPTMY0dGPyYQ7kNvwHieiOm&_nc_gid=t3HFY9qpGpnkqdCQNyPpJQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af-OZ9ZABnpZcw1QyeLnAevKgmJrtSVDcahuZlzPdNwA-Q&oe=6A34C18E&_nc_sid=8b3546,278131,6,19322,2026-06-14T17:33:27.355Z
95320530-3fbf-45fc-ad01-e12af3676e94,vetcha.roopesh,2. PB ADVENTURE,https://instagram.fsac1-1.fna.fbcdn.net/v/t51.82787-19/685622458_18113923132832275_7854451186960785997_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsac1-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2gGP0fjmQu9C_EVJyIcBi8fsiPg6KTyQuObTRqguqsNOn1e1hl11dYgHjfkNtlOb41k&_nc_ohc=wMp5tqFfM0AQ7kNvwHZV5DG&_nc_gid=rNqL1ZTTz_DPBkrsRRhOgw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af946ZldP3Yl4rrli2uKX_2N_zl7N4qM7RZTZrU57w0m1g&oe=6A34C703&_nc_sid=8b3546,41986,4,15691,2026-06-14T17:33:55.741Z
092012b9-0279-4391-a08d-ff190311bc2d,uiux_meet,Carousel Creators,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-19/670487487_18088039379201475_9219798066145266834_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gEELeoIqiDvzuzNHqABOuM5a310Ku2QnqwpZm5CX-UtGwIMDnY3bw2bcc1b69vYOak&_nc_ohc=Wm4sx8sKv8cQ7kNvwHBHDor&_nc_gid=yDNVSGpZ4-Q_APlIhOtZ5Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af_1RooyVZwHaIH4Tb9IJLw241pfUabEOat4sNAq2o4Y3w&oe=6A34A77F&_nc_sid=8b3546,44529,0,0,2026-06-14T17:34:26.622Z
eda016b2-9fa6-4069-99df-5d5b076c97fe,zeeeljain,4. AI CREATORS,https://scontent-lga3-2.cdninstagram.com/v/t51.82787-19/627531550_18036403892780249_5564546927420601235_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42MjEuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gEZkVUKcLet273xS6bgDE_4_iBbAYhhtVkqREZesbHvP4FQ6cmaNHeVayAC_qJU2W0&_nc_ohc=t61OTpQCfioQ7kNvwHwYBRh&_nc_gid=HAhyCdJsBHKeeyrqq6WOwA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af__xzhQdJ-Mh-EZls8lmiw83vchRRwazzf9dVbK-Up4_w&oe=6A349FC9&_nc_sid=8b3546,129128,46,17430,2026-06-14T17:10:30.848Z
